"","%IncMSE","%IncMSE.pval","IncNodePurity","IncNodePurity.pval"
"trehalose",0.243797631037563,0.584158415841584,0.0028015347081958,0.99009900990099
"Unknown.058",0.215711632145962,0.544554455445545,0.00247022375086894,0.98019801980198
"L.glutamic.acid",0.111443331194175,0.613861386138614,0.00124452818640556,1
"Unknown.161",0.0994266504235426,0.613861386138614,0.00389167944201708,0.772277227722772
"D.mannose",0.0988354374462615,0.673267326732673,0.00341345179590107,1
"methyl.phosphate.",0.0868946584762133,0.633663366336634,0.00162717538328456,0.99009900990099
"Unknown.145",0.0674858445323849,0.366336633663366,0.00668537524487263,0.811881188118812
"X2.keto.l.gluconic.acid.",0.0634308489660355,0.702970297029703,0.00954618312416245,0.346534653465347
"Unknown.023",0.0293115995230921,0.534653465346535,0.00319621656554542,0.99009900990099
"Unknown.137",0.0179771218119928,0.574257425742574,0.00431220758902043,0.821782178217822
"Unknown.010",0.0170234978818052,0.673267326732673,0.00204467652197589,1
